,Potential_Customer,Cust_Last_Purchase,InAct_Last,InAct_First,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income,total_pur_3years,total_pur_5years,total_ad_res_1year,total_ad_res_3years,total_ad_res_5years
75,0,2.0,16,65,S,1,55.0,F,U,59456.0,5,13,21,52,71
76,1,2.0,20,92,A,1,75.0,F,H,80104.0,8,22,19,50,98
77,1,5.0,7,121,S,1,69.0,M,U,80104.0,9,40,41,74,149
78,1,20.0,18,43,A,0,59.0,M,H,74919.0,3,5,18,45,45
79,0,25.0,17,113,A,0,81.0,M,H,74919.0,1,10,8,13,52
80,0,25.0,21,21,F,0,40.0,F,H,74919.0,2,2,16,26,23
81,0,25.0,21,21,F,0,51.0,M,U,74919.0,2,2,11,21,18
82,1,25.0,16,31,A,0,33.0,F,U,56686.0,4,4,16,34,31
83,0,11.0,16,16,F,0,36.0,F,H,56686.0,1,1,17,22,20
84,1,11.0,15,113,S,1,58.0,M,U,60152.0,3,27,18,45,98
85,0,11.0,17,130,S,1,58.0,F,H,68588.0,19,57,19,48,110
86,1,11.0,18,75,A,0,67.0,F,H,55094.0,7,17,19,48,74
87,0,3.0,16,16,F,0,57.0,F,H,83386.0,2,2,16,23,20
88,0,3.0,16,16,F,0,45.0,M,H,56694.0,2,2,15,22,18
89,0,3.0,18,103,S,1,43.0,F,U,66661.0,4,34,13,34,87
90,1,3.0,17,124,S,1,80.0,M,H,66661.0,13,53,18,47,106
91,1,15.0,25,87,A,1,34.0,F,U,66661.0,1,10,13,33,71
92,0,25.0,17,41,A,0,34.0,F,U,66661.0,3,4,14,39,40
93,1,25.0,25,41,A,0,58.0,M,U,66661.0,4,6,18,49,53
94,0,15.0,22,22,N,0,62.0,F,H,81018.0,0,1,10,10,17
95,1,15.0,17,32,A,0,55.0,F,H,81018.0,3,3,14,32,29
96,0,15.0,17,124,S,1,87.0,M,H,81018.0,3,20,19,41,100
97,1,15.0,23,23,N,0,59.0,F,U,81018.0,0,1,11,11,18
98,0,25.0,19,32,S,1,73.0,F,H,52611.0,7,9,18,44,42
99,0,25.0,20,53,A,1,38.0,M,H,52611.0,3,9,19,50,58
100,0,25.0,18,105,A,0,77.0,M,U,52611.0,4,15,19,50,83
101,0,25.0,21,75,A,0,71.0,M,U,54622.0,7,12,19,43,68
102,0,25.0,17,126,F,1,71.0,M,H,90636.0,9,33,28,57,110
103,0,25.0,18,86,A,0,71.0,F,H,88668.0,1,15,19,41,90
104,1,25.0,17,76,A,0,50.0,M,H,88668.0,4,10,19,47,75
105,1,21.0,17,126,A,1,79.0,M,H,88668.0,1,29,36,47,120
106,0,23.0,26,44,A,0,55.0,F,H,64856.0,1,5,13,32,45
107,1,23.0,15,102,A,1,50.0,F,H,64856.0,6,21,20,53,97
108,0,11.0,25,79,A,1,52.0,F,H,64856.0,4,18,19,52,84
109,1,11.0,18,86,S,1,52.0,F,H,68375.0,1,17,19,41,91
110,0,15.0,24,24,N,0,68.0,F,U,68375.0,2,2,11,25,22
111,0,15.0,21,89,A,1,68.0,M,U,69585.0,2,13,18,48,88
112,0,15.0,18,36,A,1,68.0,F,H,69585.0,6,6,18,49,46
113,1,15.0,18,76,A,0,67.0,F,U,69585.0,10,16,28,56,77
114,0,3.0,18,64,A,0,65.0,M,H,64459.0,1,6,18,34,72
115,0,3.0,17,24,N,0,83.0,F,H,64459.0,4,4,11,26,22
116,0,3.0,25,114,A,0,63.0,M,U,64459.0,1,10,14,27,74
117,0,3.0,20,20,F,0,63.0,F,H,47135.0,2,2,14,24,21
118,0,3.0,16,25,N,0,57.0,F,H,70339.0,4,4,20,39,34
119,1,3.0,17,128,S,1,81.0,F,U,70339.0,7,31,17,40,95
120,0,20.0,16,104,S,1,72.0,M,H,70339.0,8,25,20,53,99
121,1,20.0,15,35,A,0,58.0,F,U,70339.0,3,5,18,38,36
122,1,10.0,15,89,A,1,58.0,F,H,55087.0,8,18,20,51,90
123,0,10.0,18,29,A,0,70.0,M,U,49203.0,4,4,20,41,36
124,0,10.0,9,69,A,0,70.0,M,U,80479.0,2,9,23,41,73
125,0,10.0,20,41,A,0,70.0,M,H,48019.0,4,8,18,48,51
126,0,10.0,21,21,N,0,25.0,M,H,62339.0,2,2,16,26,23
127,0,10.0,18,53,A,1,64.0,F,H,62339.0,8,17,19,52,65
128,0,10.0,26,76,A,0,68.0,F,H,91382.0,2,7,13,32,68
129,1,10.0,26,65,A,0,49.0,M,U,91382.0,5,9,15,48,61
130,1,15.0,16,96,A,0,49.0,M,H,91382.0,3,8,17,38,71
131,0,15.0,25,124,A,0,60.0,M,H,91382.0,1,7,13,31,69
132,1,15.0,18,92,A,0,31.0,F,U,91382.0,1,7,14,31,54
133,0,3.0,18,52,A,1,31.0,M,U,91382.0,5,15,19,50,66
134,0,3.0,24,24,N,0,63.0,M,H,72339.0,2,2,10,24,21
135,0,3.0,21,122,A,1,72.0,F,H,72339.0,5,41,17,43,108
136,1,3.0,18,53,S,1,30.0,M,U,72339.0,16,26,20,50,64
137,1,11.0,23,65,A,0,55.0,F,H,72339.0,7,12,18,41,59
138,0,20.0,16,76,S,1,56.0,F,H,72339.0,6,14,18,43,73
139,1,20.0,20,75,A,1,47.0,M,H,72339.0,2,12,19,45,73
140,0,10.0,20,77,S,1,75.0,M,H,72339.0,13,34,11,43,76
141,0,10.0,18,124,A,1,45.0,F,H,72339.0,2,15,19,39,91
142,1,10.0,20,130,S,1,45.0,F,H,72339.0,15,72,15,48,115
143,1,10.0,17,128,A,1,73.0,M,U,72339.0,3,19,22,53,114
144,0,15.0,18,37,A,0,46.0,F,U,76959.0,1,2,14,28,32
145,1,15.0,25,92,A,0,40.0,F,H,76959.0,1,10,13,33,77
146,0,16.0,17,17,F,0,79.0,F,U,95776.0,2,2,16,23,20
147,0,16.0,17,126,A,0,79.0,M,H,95776.0,2,18,32,54,138
148,1,16.0,20,84,A,0,79.0,F,H,93770.0,1,9,19,34,78
149,1,5.0,6,57,A,0,75.0,F,U,93770.0,13,71,47,76,111
150,1,10.0,19,113,S,1,75.0,F,U,93770.0,8,30,20,52,89
151,0,24.0,26,81,A,1,75.0,M,H,88147.0,1,9,13,30,71
152,1,24.0,24,92,A,1,49.0,F,U,88147.0,1,20,16,35,93
153,0,30.0,24,32,A,0,53.0,M,H,88147.0,3,3,13,34,32
154,1,30.0,18,40,A,0,82.0,F,H,76673.0,3,7,17,50,51
155,1,5.0,17,122,A,1,51.0,M,H,122155.0,9,25,19,45,93
156,1,20.0,18,44,A,1,46.0,F,U,122155.0,2,8,21,52,57
157,1,17.0,24,73,A,0,46.0,M,H,51904.0,1,11,16,35,71
158,1,25.0,14,122,A,1,83.0,F,U,51904.0,2,48,40,67,159
159,0,20.0,18,119,A,0,75.0,F,H,51904.0,6,21,23,54,108
160,1,20.0,18,91,S,1,44.0,F,U,51904.0,21,53,20,52,99
161,0,17.0,17,105,A,0,22.0,F,H,46071.0,3,7,16,35,65
162,0,17.0,18,130,A,1,79.0,F,H,46071.0,9,37,20,53,113
163,0,17.0,17,74,A,0,73.0,M,H,46071.0,1,11,19,34,69
164,0,17.0,16,44,A,1,58.0,M,H,46250.0,7,11,20,48,52
165,1,17.0,15,85,A,0,58.0,F,H,46250.0,2,6,14,33,61
166,0,25.0,17,22,N,0,63.0,F,H,56172.0,3,4,16,28,25
167,1,25.0,17,17,F,0,47.0,F,H,52613.0,2,2,14,21,18
168,0,20.0,19,24,N,0,80.0,F,U,65726.0,4,5,16,29,27
169,0,20.0,26,52,A,0,69.0,M,U,65726.0,1,3,13,27,43
170,0,20.0,21,37,A,0,45.0,M,H,78804.0,5,7,18,45,44
171,0,20.0,17,57,S,1,71.0,M,U,52266.0,12,18,19,52,65
172,0,20.0,15,27,N,0,59.0,F,H,66631.0,3,3,12,28,25
173,1,20.0,18,56,A,0,72.0,F,U,66631.0,2,4,20,33,47
174,0,20.0,19,20,N,0,72.0,F,U,37529.0,1,2,19,26,25
175,1,20.0,5,126,A,1,81.0,F,H,70936.0,2,33,40,59,147
176,1,25.0,21,88,A,1,52.0,M,H,74592.0,2,8,14,34,70
177,0,7.0,26,130,A,0,42.0,M,U,74592.0,3,10,17,42,81
178,0,7.0,15,90,S,1,74.0,M,H,55028.0,5,22,17,46,87
179,0,7.0,15,15,N,0,47.0,F,U,55028.0,3,3,14,20,17
180,1,7.0,17,130,S,1,47.0,F,H,44714.0,7,36,16,36,105
181,0,8.0,26,57,A,0,47.0,F,H,67436.0,1,5,14,31,53
182,0,8.0,21,89,S,1,75.0,M,U,67436.0,5,15,19,49,82
183,0,8.0,18,76,A,1,49.0,F,U,67436.0,3,14,14,30,65
184,0,8.0,26,75,A,1,49.0,F,H,71285.0,1,15,15,36,75
185,0,8.0,22,87,S,1,33.0,F,U,71285.0,3,19,15,42,79
186,0,8.0,17,33,A,0,33.0,M,H,71285.0,7,7,20,47,44
187,1,8.0,6,112,S,1,84.0,F,U,65500.0,7,36,29,58,119
188,1,50.0,15,26,N,1,68.0,F,H,69583.0,6,8,22,41,36
189,0,4.0,19,24,N,0,67.0,M,U,69583.0,4,5,18,34,32
190,1,4.0,17,67,S,1,67.0,F,U,80172.0,6,26,16,41,63
191,1,21.0,18,64,A,0,56.0,F,U,80172.0,3,10,21,49,75
192,1,8.0,18,77,S,1,56.0,F,H,61831.0,8,26,16,44,79
193,1,6.0,5,128,S,1,77.0,F,U,61831.0,14,84,39,70,172
194,1,5.0,17,33,A,1,47.0,F,H,69121.0,8,11,18,44,43
195,1,14.0,16,29,A,0,61.0,F,H,69121.0,6,6,19,38,33
196,1,4.0,17,81,S,1,83.0,F,H,60273.0,7,23,17,46,77
197,0,10.0,18,85,A,0,83.0,F,H,60273.0,2,9,19,38,77
198,0,10.0,17,91,A,0,63.0,M,U,60273.0,5,14,20,50,85
199,1,10.0,19,105,A,0,70.0,M,U,60273.0,1,10,11,26,64
200,1,7.0,16,129,S,1,70.0,F,U,53341.0,7,29,18,40,81
201,0,30.0,17,111,A,0,48.0,F,H,62793.0,5,18,30,58,129
202,0,30.0,16,16,F,0,84.0,M,U,62793.0,1,1,14,18,16
203,0,30.0,18,89,S,1,84.0,F,H,77654.0,3,18,19,41,89
204,1,30.0,16,53,S,1,72.0,F,U,91659.0,3,12,19,39,65
205,1,20.0,17,17,F,0,37.0,F,H,61655.0,2,2,16,23,20
206,1,25.0,20,44,A,0,51.0,F,H,61655.0,2,3,14,33,38
207,0,10.0,15,80,A,1,37.0,F,H,61655.0,6,18,19,50,92
208,0,10.0,15,113,S,1,71.0,M,H,61655.0,3,46,9,23,83
209,0,10.0,24,41,A,0,71.0,F,U,61655.0,4,6,17,50,51
210,1,10.0,19,88,S,1,71.0,M,H,56942.0,5,22,27,56,103
211,1,100.0,4,125,A,1,29.0,M,U,56942.0,2,17,33,55,118
212,0,10.0,19,40,A,0,29.0,F,H,86282.0,4,6,18,42,41
213,1,10.0,19,19,F,0,39.0,F,H,86282.0,2,2,13,21,15
214,1,7.0,18,126,S,1,39.0,M,H,86282.0,11,55,18,51,114
215,1,4.0,18,81,S,1,62.0,M,U,86282.0,14,28,19,49,81
216,0,25.0,17,33,S,1,62.0,F,U,86282.0,5,5,16,39,34
217,1,25.0,6,113,A,0,62.0,F,U,59321.0,6,16,39,70,132
218,0,12.0,18,53,A,0,53.0,F,H,67201.0,2,7,18,37,56
219,1,12.0,15,80,A,1,56.0,F,H,67201.0,4,22,17,46,83
220,1,3.0,17,126,S,1,74.0,M,H,71014.0,14,45,18,48,109
221,1,10.0,17,89,S,1,72.0,M,U,71014.0,6,52,25,46,113
222,1,10.0,17,57,S,1,81.0,F,U,71014.0,11,28,38,68,107
223,0,16.0,18,113,A,1,44.0,F,U,66944.0,1,26,18,37,96
224,1,16.0,19,113,S,1,52.0,M,U,66944.0,9,25,19,52,103
225,0,20.0,25,31,A,0,22.0,F,H,56988.0,2,2,13,26,30
226,0,20.0,15,56,S,1,22.0,M,H,87470.0,10,21,20,52,72
227,0,20.0,17,50,A,0,65.0,F,U,87470.0,5,8,18,33,39
228,1,20.0,20,20,F,1,65.0,M,H,43191.0,1,1,14,21,21
229,0,10.0,16,65,A,0,65.0,M,H,43191.0,4,11,20,50,68
230,0,10.0,18,45,A,0,47.0,M,H,43191.0,2,6,12,29,45
231,1,10.0,18,124,A,1,84.0,M,H,43191.0,4,33,17,44,104
232,1,15.0,21,113,A,1,78.0,M,H,59014.0,4,21,17,40,93
233,0,15.0,19,111,A,0,82.0,F,U,59014.0,4,11,19,52,93
234,1,15.0,18,81,A,1,82.0,M,H,59014.0,6,19,19,52,89
235,1,25.0,18,102,A,0,69.0,M,U,59014.0,1,15,21,43,99
236,1,15.0,20,33,A,1,33.0,M,H,74207.0,5,5,18,46,42
237,0,25.0,16,23,N,1,53.0,F,H,81157.0,6,6,20,36,32
238,1,25.0,24,32,A,0,37.0,M,U,81157.0,4,4,13,37,34
239,0,5.0,17,128,S,1,85.0,M,H,79730.0,7,40,12,38,81
240,1,5.0,15,57,A,1,86.0,F,H,79730.0,12,25,19,51,70
241,1,20.0,26,130,A,1,63.0,M,H,81739.0,3,34,13,38,99
242,1,5.0,18,125,S,1,58.0,F,H,81739.0,9,27,18,49,96
243,1,20.0,16,41,S,1,75.0,M,U,81739.0,10,12,21,51,55
244,1,5.0,16,24,N,1,75.0,F,H,114584.0,7,8,21,36,33
245,1,24.0,20,57,A,0,65.0,F,H,154945.0,4,10,19,46,61
246,0,25.0,25,75,A,0,86.0,M,H,154945.0,2,6,12,29,51
247,0,25.0,24,69,A,0,71.0,M,H,81042.0,3,10,18,51,77
248,1,25.0,18,45,A,0,71.0,M,H,81042.0,4,12,19,52,59
249,1,10.0,18,32,A,0,55.0,F,H,81042.0,7,7,16,41,41
250,0,10.0,15,130,A,0,82.0,M,U,76547.0,3,29,9,19,58
251,0,10.0,15,15,E,0,38.0,F,H,85150.0,1,1,11,13,14
252,1,10.0,17,122,S,1,43.0,F,U,85150.0,4,23,18,48,98
253,0,15.0,24,126,A,1,43.0,F,H,62493.0,8,26,17,47,101
254,0,15.0,22,29,A,0,49.0,F,U,62493.0,4,4,20,41,37
255,0,15.0,5,119,A,1,49.0,M,H,100789.0,1,35,33,54,150
256,0,15.0,18,93,A,1,58.0,F,U,100789.0,11,20,20,50,81
257,1,15.0,21,53,A,1,28.0,F,H,72594.0,8,16,18,50,62
258,0,7.0,17,28,A,1,51.0,F,H,66725.0,9,10,18,35,33
259,0,7.0,18,97,A,0,63.0,M,U,66725.0,1,10,16,28,77
260,1,7.0,18,77,S,1,63.0,F,U,73508.0,13,25,20,53,85
261,0,15.0,18,31,A,0,65.0,M,U,70097.0,2,2,14,27,30
262,0,15.0,21,127,A,1,87.0,F,H,86725.0,6,32,16,47,99
263,0,15.0,18,44,A,0,54.0,F,H,86725.0,6,8,19,46,51
264,0,15.0,21,21,F,0,35.0,F,H,86725.0,2,2,16,26,24
265,0,15.0,25,52,A,0,43.0,F,U,85253.0,2,4,19,36,57
266,0,15.0,18,41,A,0,67.0,F,H,105247.0,3,6,19,46,44
267,1,15.0,21,41,A,0,55.0,M,H,105247.0,7,10,18,46,49
268,0,10.0,20,100,A,0,75.0,F,H,105247.0,3,12,19,40,83
269,0,10.0,26,75,A,0,46.0,F,H,105247.0,1,4,13,27,57
270,1,10.0,17,52,E,0,80.0,M,U,105247.0,6,7,7,19,29
271,0,10.0,15,57,A,0,80.0,M,U,105247.0,6,11,24,49,83
272,0,10.0,16,16,F,0,80.0,M,U,105247.0,2,2,19,26,22
273,1,10.0,19,103,A,1,80.0,F,U,98951.0,3,23,15,42,92
274,1,10.0,18,88,A,1,62.0,M,U,98951.0,6,24,9,34,82
275,1,15.0,15,44,A,0,62.0,M,H,98951.0,2,7,18,37,51
276,0,10.0,18,77,A,0,55.0,M,U,98951.0,1,8,24,42,99
277,1,10.0,17,53,A,0,55.0,M,U,98951.0,4,10,19,51,63
278,0,5.0,21,57,S,1,54.0,F,H,30185.0,4,16,19,45,68
279,0,5.0,15,130,S,1,83.0,M,H,30185.0,7,38,10,26,72
280,0,5.0,20,20,F,0,57.0,F,U,30185.0,1,1,11,18,17
281,0,5.0,24,29,A,0,57.0,M,H,27184.0,4,4,13,32,30
282,0,5.0,17,17,F,0,69.0,F,U,27184.0,2,2,16,23,20
283,0,5.0,21,21,N,0,71.0,M,U,27184.0,2,2,11,21,18
284,1,5.0,25,128,S,1,71.0,F,H,27184.0,6,26,8,36,87
285,0,100.0,15,15,E,0,55.0,F,U,27184.0,1,1,9,11,12
286,1,100.0,19,49,A,0,55.0,F,H,71979.0,2,5,35,57,68
287,1,20.0,16,16,F,0,40.0,M,H,122735.0,2,2,16,23,19
288,1,30.0,16,23,N,0,40.0,F,U,122735.0,4,4,20,38,33
289,0,0.0,18,125,S,1,40.0,F,U,27897.0,3,26,19,40,97
290,0,0.0,18,33,A,0,45.0,F,U,27897.0,6,6,18,46,42
291,0,0.0,17,111,S,1,45.0,M,U,27897.0,4,31,15,38,90
292,0,0.0,17,36,S,1,45.0,F,H,36299.0,17,19,19,46,46
293,0,0.0,15,105,A,1,57.0,F,U,36299.0,0,15,27,27,106
294,1,6.0,17,130,S,1,75.0,F,H,39604.0,8,47,21,51,133
295,1,10.0,16,33,A,0,79.0,M,U,39604.0,7,7,20,43,41
296,0,30.0,17,40,E,0,79.0,F,U,39604.0,2,4,6,18,21
297,0,30.0,17,101,A,0,79.0,F,U,39604.0,4,14,17,42,106
298,1,30.0,18,24,N,0,50.0,F,U,40131.0,3,3,19,36,30
299,0,20.0,19,75,A,0,83.0,F,H,40131.0,2,6,17,27,45
300,0,20.0,18,127,S,1,87.0,M,H,40131.0,10,45,16,46,112
301,0,20.0,15,41,A,0,79.0,M,U,40131.0,8,12,19,50,51
302,0,20.0,15,45,S,1,79.0,F,U,40131.0,7,12,20,50,56
303,1,20.0,17,17,F,1,60.0,F,U,40131.0,2,2,16,23,20
304,1,25.0,18,64,S,1,60.0,F,U,41449.0,2,9,20,39,70
305,1,11.0,18,92,S,1,47.0,F,U,41449.0,3,16,19,37,80
306,0,10.0,26,67,A,1,47.0,M,H,41449.0,5,21,15,48,76
307,0,10.0,18,29,A,0,67.0,F,H,39838.0,3,5,20,43,40
308,1,10.0,15,122,S,1,78.0,F,U,39838.0,8,34,11,30,54
309,1,30.0,21,21,N,0,72.0,F,U,39838.0,2,2,11,21,18
310,1,36.0,26,67,A,0,72.0,F,H,25265.0,1,5,15,32,63
311,0,16.0,18,65,A,1,61.0,F,U,43729.0,7,13,19,50,68
312,0,16.0,18,104,A,0,55.0,M,H,43729.0,4,17,19,52,85
313,0,16.0,15,80,S,1,68.0,M,U,43729.0,5,41,42,75,147
314,0,16.0,13,20,F,0,68.0,M,H,43729.0,4,5,30,37,37
315,0,16.0,18,18,F,0,74.0,M,U,43729.0,1,1,16,21,19
316,1,16.0,17,79,A,0,74.0,M,H,42011.0,2,10,15,36,64
317,1,11.0,15,104,A,0,55.0,M,H,42011.0,6,12,18,44,80
318,0,30.0,17,76,A,0,41.0,M,U,42011.0,3,11,19,50,78
319,1,30.0,21,100,A,0,62.0,F,H,44965.0,1,5,19,36,78
320,1,20.0,23,30,A,0,66.0,F,H,44965.0,4,4,14,34,31
321,0,10.0,19,24,N,0,69.0,M,U,44965.0,3,3,18,34,29
322,0,10.0,15,43,A,0,53.0,M,H,44965.0,3,6,19,52,58
323,1,10.0,18,93,A,0,77.0,M,U,44965.0,3,17,18,47,85
324,0,10.0,16,45,A,0,31.0,M,H,59493.0,4,6,19,43,47
325,1,10.0,16,126,S,1,79.0,F,H,59493.0,9,42,17,47,99
326,0,4.0,26,129,A,1,52.0,M,H,59493.0,1,26,13,31,95
327,0,4.0,24,59,A,0,78.0,F,U,59493.0,4,5,14,36,39
328,1,4.0,18,41,S,1,51.0,M,H,40935.0,10,13,20,45,46
329,1,11.0,15,75,S,1,82.0,F,H,40935.0,11,24,19,51,81
330,0,5.0,26,39,A,0,44.0,M,U,40935.0,1,2,13,32,41
331,1,5.0,18,32,A,0,41.0,M,H,40935.0,2,3,18,37,41
332,0,10.0,18,18,F,0,57.0,M,U,40935.0,2,2,14,21,17
333,1,10.0,17,130,A,1,74.0,F,H,50546.0,7,33,30,61,148
334,1,51.0,18,89,A,0,69.0,M,U,56916.0,2,10,19,47,80
335,1,10.0,15,121,A,0,60.0,F,U,56916.0,4,18,22,50,100
336,1,10.0,23,92,A,1,50.0,F,U,27096.0,2,14,18,47,83
337,0,11.0,18,75,A,0,37.0,F,H,54425.0,3,12,19,50,78
338,1,11.0,16,130,A,0,65.0,F,H,54425.0,7,25,23,52,103
339,1,20.0,20,20,F,0,34.0,F,U,54425.0,2,2,14,24,21
340,1,15.0,15,28,A,1,47.0,F,U,37766.0,6,6,17,35,35
341,0,17.0,16,113,S,1,47.0,F,U,37766.0,10,46,20,53,101
342,1,17.0,18,103,A,1,63.0,F,U,37766.0,1,25,20,37,106
343,1,48.0,10,111,S,1,72.0,F,H,48639.0,8,83,34,67,154
344,1,25.0,15,103,A,0,72.0,M,U,48639.0,2,14,29,49,120
345,1,6.0,18,36,A,1,71.0,F,H,48639.0,9,13,18,47,45
346,1,10.0,18,79,S,1,79.0,F,U,48639.0,4,18,19,48,82
347,1,15.0,16,68,S,1,77.0,F,H,48639.0,10,33,13,41,65
348,1,10.0,15,114,E,1,64.0,F,H,58656.0,4,21,13,37,94
349,1,6.0,19,105,A,0,64.0,M,H,58656.0,10,23,19,50,89
350,0,6.0,18,75,A,0,59.0,M,U,58656.0,4,12,20,39,64
351,0,6.0,20,113,A,1,45.0,M,H,70789.0,2,19,19,46,92
